2017-09-11 20:38:54	remco	http://localhost:8888/bannertool/	Parse Error: 	syntax error, unexpected 'foreach' (T_FOREACH) (line 16 of /Applications/MAMP/htdocs/bannertool/site/templates/homepage.php)
2017-09-12 20:42:48	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/336x280/	Parse Error: 	syntax error, unexpected '$file' (T_VARIABLE), expecting ',' or ';' (line 17 of /Applications/MAMP/htdocs/bannertool/site/templates/336x280.php)
2017-09-12 20:43:43	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/336x280/	Parse Error: 	syntax error, unexpected '$file' (T_VARIABLE), expecting ',' or ';' (line 17 of /Applications/MAMP/htdocs/bannertool/site/templates/336x280.php)
2017-09-12 20:44:27	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/336x280/	Parse Error: 	syntax error, unexpected '$file' (T_VARIABLE), expecting ',' or ';' (line 17 of /Applications/MAMP/htdocs/bannertool/site/templates/336x280.php)
2017-09-13 13:10:45	remco	http://localhost:8888/bannertool/	Error: 	Exception: Unknown Selector operator: '' -- was your selector value properly escaped?  (in /Applications/MAMP/htdocs/bannertool/wire/core/Selectors.php line 396)  #0 /Applications/MAMP/htdocs/bannertool/wire/core/Selectors.php(439): ProcessWire\Selectors->create('children', '', '') #1 /Applications/MAMP/htdocs/bannertool/wire/core/Selectors.php(159): ProcessWire\Selectors->extractString('children, sort=...') #2 /Applications/MAMP/htdocs/bannertool/wire/core/Selectors.php(145): ProcessWire\Selectors->setSelectorString('children, sort=...') #3 /Applications/MAMP/htdocs/bannertool/wire/core/PagesLoader.php(217): ProcessWire\Selectors->init('children, sort=...') #4 /Applications/MAMP/htdocs/bannertool/wire/core/Pages.php(232): ProcessWire\PagesLoader->find('children, sort=...', Array) #5 /Applications/MAMP/htdocs/bannertool/wire/core/Wire.php(383): ProcessWire\Pages->___find('children, sort=...') #6 /Applications/MAMP/htdocs/bannertool/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___find', Array)
2017-09-13 14:30:26	klant-a	http://localhost:8888/bannertool/http404/	Parse Error: 	syntax error, unexpected 'include' (T_INCLUDE), expecting ',' or ';' (line 7 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/client-page.php)
2017-09-13 16:40:32	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Parse Error: 	syntax error, unexpected 'foreach' (T_FOREACH), expecting ',' or ';' (line 35 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2017-09-13 16:40:46	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Parse Error: 	syntax error, unexpected 'foreach' (T_FOREACH), expecting ',' or ';' (line 35 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2017-09-13 16:41:24	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Parse Error: 	syntax error, unexpected 'foreach' (T_FOREACH), expecting ',' or ';' (line 35 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2017-09-14 09:11:45	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compile Error: 	Cannot use isset() on the result of an expression (you can use "null !== expression" instead) (line 41 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
2017-09-14 09:13:01	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Parse Error: 	syntax error, unexpected '$reaction' (T_VARIABLE), expecting '(' (line 41 of /Applications/MAMP/htdocs/bannertool/site/assets/cache/FileCompiler/site/templates/iab-set-page.php)
